0-0
222,-18,-24,0,7,-6,-7,9,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,0,
0,-1,0,0,-1,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,-1,0,
0-0
234,18,-6,-6,-7,-12,0,0,
0,0,0,0,0,1,0,-1,
0,0,0,0,0,-1,0,1,
0,0,0,-1,0,0,-1,0,
0,0,0,0,0,0,0,0,
0,1,1,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,-1,1,-1,0,0,0,
0-0
150,-12,48,18,-15,-12,0,0,
1,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,-1,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,1,0,0,
1,0,0,0,0,0,0,0,
0,0,0,0,0,0,-1,0,
0-0
144,12,36,24,7,-6,0,0,
0,0,0,0,0,0,0,0,
-1,0,0,1,0,1,0,0,
0,0,1,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
1,0,0,0,-1,0,0,0,
-1,0,0,1,0,0,0,0,
16-0
229,-18,-18,-6,7,-6,0,0,
0,0,0,0,-1,0,0,0,
0,1,1,0,0,0,-1,0,
-1,0,-1,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,-1,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,-1,0,0,0,0,
16-0
192,36,-24,-12,0,0,0,0,
0,-7,0,0,0,0,0,0,
1,0,0,-1,0,0,0,0,
0,0,0,0,1,-1,0,0,
0,0,0,0,1,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,1,0,0,
0,0,0,0,0,0,1,-1,
16-0
144,-12,42,24,-14,-6,0,0,
-1,0,-1,0,0,0,0,0,
1,0,0,0,0,0,0,0,
0,0,0,0,-1,0,0,-1,
1,0,1,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,-1,0,0,0,0,0,
0,0,0,1,-1,0,0,0,
16-0
157,0,31,18,21,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,
0,0,0,0,0,1,0,0,
0,0,0,0,0,-1,0,1,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,-1,-1,0,0,0,0,
32-0
144,-6,-6,-6,-14,6,0,0,
0,0,0,0,-1,1,0,0,
-1,0,0,0,-1,0,0,0,
0,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,-1,0,0,0,0,0,-1,
0,0,0,0,0,0,1,0,
32-0
138,12,-12,0,6,0,0,0,
0,0,0,0,0,0,0,0,
0,1,0,0,0,0,1,0,
1,0,1,0,0,0,0,0,
